32,18,20
24,36,53
65,39,7
104,11,2
22,13,9
108,1,75
22,24,26
34,17,10
93,17,5
103,9,5
26,19,16
109,3,0
31,12,12
35,17,15
106,4,1
49,26,16
99,8,5
26,14,3
0,0,0
23,17,16
64,20,22
42,21,14
59,60,65
43,35,18
105,11,5
28,16,26
0,0,0
54,26,11
79,14,7
33,5,1
74,5,5
34,13,6
154,9,7
20,16,17
40,32,16
43,27,21
8,11,28
38,35,22
87,14,8
136,14,6
92,9,8
107,13,3
97,11,5
101,11,5
47,12,7
51,43,11
69,15,4
33,17,22
23,11,19
39,0,33
0,0,0
101,9,4
16,14,11
26,16,6
0,0,0
93,5,9
102,10,3
40,21,18
7,28,89
83,11,15
97,11,5
35,15,27
102,12,7
23,16,11
58,22,15
61,47,6
39,17,16
0,0,0
24,22,26
87,12,7
110,4,9
29,16,17
37,31,28
57,52,14
23,11,8
92,9,7
85,18,7
108,12,6
95,20,0
85,12,9
110,8,0
13,16,12
28,26,20
118,14,9
54,16,6
7,0,3
85,10,9
91,25,6
26,59,6
112,36,36
91,15,6
105,10,5
11,15,19
110,8,5
49,24,8
81,24,2
43,7,7
115,3,7
34,18,16
46,28,17
101,0,17
0,0,0
14,13,65
93,17,5
5,6,4
34,15,8
101,11,6
97,5,3
46,14,7
84,15,12
40,24,15
35,28,29
104,7,6
24,19,12
39,17,19
25,35,31
0,0,0
21,65,24
29,26,17
57,35,13
74,20,11
91,15,7
37,16,10
70,23,13
44,19,15
24,29,3
0,0,0
0,0,0
119,10,2
32,17,17
31,18,23
35,60,13
0,0,0
89,17,8
93,7,1
101,9,6
77,12,4
20,19,12
108,9,5
109,6,2
49,10,14
26,13,4
81,17,9
106,8,5
117,10,33
87,10,9
108,6,3
86,14,13
115,4,1
105,9,5
90,12,7
1,91,91
48,27,17
78,10,8
91,14,6
78,23,11
80,19,9
15,8,37
19,14,21
0,0,0
8,10,14
14,5,15
0,0,0
0,0,0
26,15,17
12,16,27
0,0,0
106,4,74
0,0,0
20,12,10
13,5,5
43,18,9
64,17,13
0,0,0
16,10,64
104,4,8
115,0,69
116,34,34
103,40,40
66,12,4
9,8,17
44,4,16
60,62,62
67,12,3
38,8,11
37,22,21
71,6,3
8,5,3
